retailer
Arlo's
BP
BakeHouse
Barber Shop
Barbers
Birthdays
Budgens
Burger King
CB Shack
Cafe Ritazza
Carvery Express
Children's Play Area
Chozen Noodles
Claire's
Coffee Nation
Coffee Primo
Coffee Republic
Costa
Cotton Traders
Dessert Station
Domino's Pizza
Dunkin' Donuts
Eat
Eat & Drink Co
Eat In
Eat and Drink Company
El Mexicana
Ernies
Farm Shop
Fifth Wheel Bar and Grill
FoneBiz
Food to Go - Farm Cafe
Fresh Express
Fresh Food Cafe
Full House
Game Arcade
Gamegrid
Gamezone
Gaming Center
Ginsters Sandwiches
Greggs
Halfords
Harry Ramsden's
Harvester
Hot Food Co
KFC
Knickerbox
Krispy Kreme
Ladbrokes
Le Petit Four
Leaf Gifts
Lucky Coin
M&S
McColl's
McDonald's
Moodog
Moto Shop
Namco
Papa John's
Patiserie Valerie
Phone Bitz
Pizza Hut
Quicksilver
Regus Business Lounge
Restaurant
Restbite
Retail Shop
SOHO Coffee Co
SPAR
Scoop
Shop
Showers
Starbucks
Subway
T2
The Body Shop
The Burger Company
The Co-Operative Food
The Sock Shop
Top Gift
Tourist Information
Travellers
Truckwash
Upper Crust
Vegas
WHSmiths
Waitrose
Welcome Break Gaming
West Cornwall Pasty Company
Wetherspoon's
Wild Bean Cafe
Wimpy
Xchange ( Bureau de Change)
mobile phone stand
phonebitz
